MaxCapReqConstraint,ConstraintDescription,Max_MW
1,SPP_N_TES,3144
2,SPP_NEBR_TES,2115
3,SPP_SPS_TES,1083
4,SPP_WAUE_TES,2742
5,SPP_WEST_TES,7236
