MaxCapReqConstraint,ConstraintDescription,Max_MW
1,MIS_INKY_TES,8250
2,MIS_AMSO_LA_WOTA_TES,32830
3,MIS_IL_TES,6235
4,MIS_IA_MIDA_TES,7751
5,MIS_LMI_TES,4713
6,MIS_WUMS_TES,6157
7,MIS_MAPP_MNWI_TES,6841
8,MIS_AR_TES,3572
9,MIS_D_MS_TES,2337
10,MIS_MO_TES,1601
