Resource,Zone,Num_VRE_Bins,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,region,cluster,CapRes_1
SPP_WAUE_landbasedwind_class3_moderate_3,4,1,1,0,32456.7,0,214176,32928,-27.5,SPP_WAUE,3,0.8
SPP_WAUE_utilitypv_class1_moderate_0,4,1,1,0,492026.8,0,76636,16139,-27.5,SPP_WAUE,0,0.8
SPP_WAUE_utilitypv_class1_moderate_1,4,1,1,0,323551.4,0,82274,16139,-27.5,SPP_WAUE,1,0.8
SPP_WAUE_utilitypv_class1_moderate_2,4,1,1,0,523455.3,0,181677,16139,-27.5,SPP_WAUE,2,0.8
SPP_WAUE_utilitypv_class1_moderate_3,4,1,1,0,292041.4,0,105948,16139,-27.5,SPP_WAUE,3,0.8
SPP_WEST_landbasedwind_class3_moderate_0,5,1,1,0,65722.1,0,125227,32928,-27.5,SPP_WEST,0,0.8
SPP_WEST_landbasedwind_class3_moderate_1,5,1,1,0,40681.7,0,119468,32928,-27.5,SPP_WEST,1,0.8
SPP_WEST_landbasedwind_class3_moderate_2,5,1,1,0,92400,0,208301,32928,-27.5,SPP_WEST,2,0.8
SPP_WEST_landbasedwind_class3_moderate_3,5,1,1,0,13931.7,0,177749,32928,-27.5,SPP_WEST,3,0.8
SPP_WEST_utilitypv_class1_moderate_0,5,1,1,0,602966.1,0,82192,16139,-27.5,SPP_WEST,0,0.8
SPP_WEST_utilitypv_class1_moderate_1,5,1,1,0,200632.1,0,76502,16139,-27.5,SPP_WEST,1,0.8
SPP_WEST_utilitypv_class1_moderate_2,5,1,1,0,609747.9,0,172617,16139,-27.5,SPP_WEST,2,0.8
SPP_WEST_utilitypv_class1_moderate_3,5,1,1,0,193753.9,0,88385,16139,-27.5,SPP_WEST,3,0.8
