Resource,Derating_Factor_1
SPP_N_res_water_heat_1,0
SPP_NEBR_res_water_heat_1,0
SPP_SPS_res_water_heat_1,0
SPP_WAUE_res_water_heat_1,0
SPP_WEST_res_water_heat_1,0
SPP_N_trans_light_duty_1,0
SPP_NEBR_trans_light_duty_1,0
SPP_SPS_trans_light_duty_1,0
SPP_WAUE_trans_light_duty_1,0
SPP_WEST_trans_light_duty_1,0
