,Network_zones,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,CO_2_Max_tons_MWh_1
MIS_AMSO_LA_WOTA,z1,1.0,-1.0,0.2
MIS_AR,z2,1.0,-1.0,0.2
MIS_D_MS,z3,1.0,-1.0,0.2
MIS_IA_MIDA,z4,1.0,-1.0,0.2
MIS_IL,z5,1.0,-1.0,0.2
MIS_INKY,z6,1.0,-1.0,0.2
MIS_LMI,z7,1.0,-1.0,0.2
MIS_MAPP_MNWI,z8,1.0,-1.0,0.2
MIS_MO,z9,1.0,-1.0,0.2
MIS_WUMS,z10,1.0,-1.0,0.2
