MaxCapReqConstraint,ConstraintDescription,Max_MW
1,MIS_INKY_TES,14733
2,MIS_AMSO_LA_WOTA_TES,39996
3,MIS_IL_TES,6009
4,MIS_IA_MIDA_TES,7969
5,MIS_LMI_TES,3634
6,MIS_WUMS_TES,2891
7,MIS_MAPP_MNWI_TES,6172
8,MIS_AR_TES,1674
9,MIS_D_MS_TES,1513
10,MIS_MO_TES,1330
