Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Reinforcement_Cost_per_MWyr,Line_Max_Reinforcement_MW,DerateCapRes_1,CapRes_Excl_1
z1,1,1,2,2983,-2983,SPP_N_to_SPP_NEBR,250.1242,0.01946,17680,2983,0.95,0
z2,2,1,3,469,-469,SPP_N_to_SPP_SPS,395.1754,0.0516,41680,469,0.95,0
z3,3,1,5,2903,-2903,SPP_N_to_SPP_WEST,228.2059,0.0339,30062,2903,0.95,0
z4,4,2,4,2190,-2190,SPP_NEBR_to_SPP_WAUE,251.6078,0.04467,37574,2190,0.95,0
z5,5,3,5,2039,-2039,SPP_SPS_to_SPP_WEST,376.1164,0.034916,28573,2039,0.95,0
