,Network_zones,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,CO_2_Max_tons_MWh_1
SPP_N,z1,1.0,-1.0,0.1
SPP_NEBR,z2,1.0,-1.0,0.1
SPP_SPS,z3,1.0,-1.0,0.1
SPP_WAUE,z4,1.0,-1.0,0.1
SPP_WEST,z5,1.0,-1.0,0.1
